SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
AR-TF1,215,GRP_ONEFLUX,PRODUCT_FIRST_YEAR,2016
AR-TF1,215,GRP_ONEFLUX,PRODUCT_LAST_YEAR,2018
AR-TF1,215,GRP_ONEFLUX,PRODUCT_NAME,AMF_AR-TF1_FLUXNET_2016-2018_v1.3_r1.zip
AR-TF1,215,GRP_ONEFLUX,PRODUCT_ONEFLUX_VERSION,1.3.2-rc
AR-TF1,215,GRP_ONEFLUX,PRODUCT_PROCESSING_CENTER,AMP
AR-TF1,215,GRP_ONEFLUX,PRODUCT_PROCESSING_DATE,20251213
AR-TF1,215,GRP_ONEFLUX,PRODUCT_SOURCE_NETWORK,AMF
AR-TF1,215,GRP_ONEFLUX,PRODUCT_TIME_RESOLUTION,HH
AR-TF1,216,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS
AR-TF1,216,GRP_VAR_INFO,VAR_INFO_DATE,201601311500
AR-TF1,216,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Air temperature, gapfilled using MDS method, average from half-hourly data"
AR-TF1,216,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
AR-TF1,216,GRP_VAR_INFO,VAR_INFO_MODEL,RH-Capac
AR-TF1,216,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
AR-TF1,217,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_QC
AR-TF1,217,GRP_VAR_INFO,VAR_INFO_DATE,201601010000
AR-TF1,217,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for TA_F_MDS, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
AR-TF1,217,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
AR-TF1,218,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_NIGHT
AR-TF1,218,GRP_VAR_INFO,VAR_INFO_DATE,201601311500
AR-TF1,218,GRP_VAR_INFO,VAR_INFO_DEFINITION,Average nighttime TA_F_MDS from half-hourly data
AR-TF1,218,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
