SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
CL-SDP,231,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Average nighttime TA_ERA, calculated from half-hourly data"
CL-SDP,231,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,231,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDP,231,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDP,232,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_ERA_NIGHT_SD
CL-SDP,232,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,232,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Standard deviation for TA_ERA_NIGHT, calculated from half-hourly data"
CL-SDP,232,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,232,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDP,232,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDP,233,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_ERA_DAY
CL-SDP,233,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,233,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Average daytime TA_ERA, calculated from half-hourly data"
CL-SDP,233,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,233,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDP,233,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDP,234,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_ERA_DAY_SD
CL-SDP,234,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,234,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Standard deviation for TA_ERA_DAY, calculated from half-hourly data"
CL-SDP,234,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,234,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDP,234,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDP,235,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F
CL-SDP,235,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,235,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Air temperature, consolidated from TA_F_MDS and TA_ERA, average from half-hourly data"
CL-SDP,235,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,235,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDP,235,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDP,236,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_QC
CL-SDP,236,GRP_VAR_INFO,VAR_INFO_DATE,201401010000
CL-SDP,236,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for TA_F, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
CL-SDP,236,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
CL-SDP,237,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_NIGHT
CL-SDP,237,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,237,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Average nighttime TA_F, calculated from half-hourly data"
CL-SDP,237,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,237,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDP,237,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDP,238,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_NIGHT_SD
CL-SDP,238,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,238,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Standard deviation for TA_F_NIGHT, calculated from half-hourly data"
CL-SDP,238,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,238,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDP,238,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDP,239,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_NIGHT_QC
CL-SDP,239,GRP_VAR_INFO,VAR_INFO_DATE,201401010000
CL-SDP,239,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for TA_F_NIGHT, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
CL-SDP,239,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
CL-SDP,240,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_DAY
CL-SDP,240,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,240,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Average daytime TA_F, calculated from half-hourly data"
CL-SDP,240,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,240,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDP,240,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDP,241,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_DAY_SD
CL-SDP,241,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,241,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Standard deviation for TA_F_DAY, calculated from half-hourly data"
CL-SDP,241,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,241,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDP,241,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDP,242,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_DAY_QC
CL-SDP,242,GRP_VAR_INFO,VAR_INFO_DATE,201401010000
CL-SDP,242,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for TA_F_DAY, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
CL-SDP,242,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
CL-SDP,243,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN_POT
CL-SDP,243,GRP_VAR_INFO,VAR_INFO_DATE,201401010000
CL-SDP,243,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Shortwave radiation, incoming, potential (top of atmosphere), average from half-hourly data"
CL-SDP,243,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
CL-SDP,244,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN_F_MDS
CL-SDP,244,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,244,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Shortwave radiation, incoming, gapfilled using MDS (negative values set to zero, e.g., negative values from instrumentation noise). Average from half-hourly data"
CL-SDP,244,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,244,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
CL-SDP,244,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
CL-SDP,245,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN_F_MDS_QC
CL-SDP,245,GRP_VAR_INFO,VAR_INFO_DATE,201401010000
CL-SDP,245,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for SW_IN_F_MDS. Fraction between 0-1, indicating percentage of measured and good quality gapfill data"
CL-SDP,245,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
CL-SDP,246,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN_ERA
CL-SDP,246,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,246,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Shortwave radiation, incoming, downscaled from ERA, linearly regressed using measured only site data (negative values set to zero). Average from half-hourly data"
CL-SDP,246,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,246,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
CL-SDP,246,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
CL-SDP,247,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN_F
CL-SDP,247,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,247,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Shortwave radiation, incoming consolidated from SW_IN_F_MDS and SW_IN_ERA (negative values set to zero). Average from half-hourly data"
CL-SDP,247,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,247,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
CL-SDP,247,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
CL-SDP,248,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN_F_QC
CL-SDP,248,GRP_VAR_INFO,VAR_INFO_DATE,201401010000
CL-SDP,248,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for SW_IN_F, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
CL-SDP,248,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
CL-SDP,249,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_IN_F_MDS
CL-SDP,249,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,249,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Longwave radiation, incoming, gapfilled using MDS. Average from half-hourly data"
CL-SDP,249,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,249,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
CL-SDP,249,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
CL-SDP,250,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_IN_F_MDS_QC
CL-SDP,250,GRP_VAR_INFO,VAR_INFO_DATE,201401010000
CL-SDP,250,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for LW_IN_F_MDS. Fraction between 0-1, indicating percentage of measured and good quality gapfill data"
CL-SDP,250,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
CL-SDP,251,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_IN_ERA
CL-SDP,251,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,251,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Longwave radiation, incoming, downscaled from ERA, linearly regressed using measured only site data. Average from half-hourly data"
CL-SDP,251,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,251,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
CL-SDP,251,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
CL-SDP,252,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_IN_F
CL-SDP,252,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,252,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Longwave radiation, incoming consolidated from LW_IN_F_MDS and LW_IN_ERA. Average from half-hourly data"
CL-SDP,252,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,252,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
CL-SDP,252,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
CL-SDP,253,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_IN_F_QC
CL-SDP,253,GRP_VAR_INFO,VAR_INFO_DATE,201401010000
CL-SDP,253,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for LW_IN_F, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
CL-SDP,253,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
CL-SDP,254,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_IN_JSB
CL-SDP,254,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,254,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Longwave radiation, incoming, calculated from TA_F_MDS, SW_IN_F_MDS, VPD_F_MDS and SW_IN_POT using the JSBACH algorithm (Sonke Zaehle)"
CL-SDP,254,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,254,GRP_VAR_INFO,VAR_INFO_MODEL,[TA] TEMP-ElectResis. [SW_IN] RAD-Pyrrad-SW+LW. [RH] RH-Capac
CL-SDP,254,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
CL-SDP,255,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_IN_JSB_QC
CL-SDP,255,GRP_VAR_INFO,VAR_INFO_DATE,201401010000
