SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
AR-TF2,225,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Average nighttime TA_ERA, calculated from half-hourly data"
AR-TF2,225,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
AR-TF2,225,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
AR-TF2,225,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
AR-TF2,226,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_ERA_NIGHT_SD
AR-TF2,226,GRP_VAR_INFO,VAR_INFO_DATE,201602081200
AR-TF2,226,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Standard deviation for TA_ERA_NIGHT, calculated from half-hourly data"
AR-TF2,226,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
AR-TF2,226,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
AR-TF2,226,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
AR-TF2,227,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_ERA_DAY
AR-TF2,227,GRP_VAR_INFO,VAR_INFO_DATE,201602081200
AR-TF2,227,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Average daytime TA_ERA, calculated from half-hourly data"
AR-TF2,227,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
AR-TF2,227,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
AR-TF2,227,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
AR-TF2,228,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_ERA_DAY_SD
AR-TF2,228,GRP_VAR_INFO,VAR_INFO_DATE,201602081200
AR-TF2,228,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Standard deviation for TA_ERA_DAY, calculated from half-hourly data"
AR-TF2,228,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
AR-TF2,228,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
AR-TF2,228,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
AR-TF2,229,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F
AR-TF2,229,GRP_VAR_INFO,VAR_INFO_DATE,201602081200
AR-TF2,229,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Air temperature, consolidated from TA_F_MDS and TA_ERA, average from half-hourly data"
AR-TF2,229,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
AR-TF2,229,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
AR-TF2,229,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
AR-TF2,230,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_QC
AR-TF2,230,GRP_VAR_INFO,VAR_INFO_DATE,201601010000
AR-TF2,230,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for TA_F, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
AR-TF2,230,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
AR-TF2,231,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_NIGHT
AR-TF2,231,GRP_VAR_INFO,VAR_INFO_DATE,201602081200
AR-TF2,231,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Average nighttime TA_F, calculated from half-hourly data"
AR-TF2,231,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
AR-TF2,231,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
AR-TF2,231,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
AR-TF2,232,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_NIGHT_SD
