site_id,site_name,country,regional_scope,location_lat,location_long,igbp,ecosystem_biome,ecosystem_note,network,first_year,last_year,temporal_period_available,download_availability,access_type,access_method,download_link,fluxnet_product_name,product_id,oneflux_code_version,official_validation_source,year_start,year_end,temporal_coverage_years,total_observations,valid_nee_pct,valid_gpp_pct,valid_le_pct,valid_h_pct,valid_ta_pct,valid_sw_in_pct,acceptable_qc_pct,acceptable_nee_qc_pct,acceptable_le_qc_pct,acceptable_h_qc_pct,acceptable_ta_qc_pct,acceptable_sw_in_qc_pct,variables_available_count,utility_score,quality_class,original_variable_count,standardized_variable_count,variables_present,additional_variables_detected,unit_notes,notes,quality_color,marker_radius
AR-CCg,Carlos Casares grassland,Argentina,"Argentina, included as regional comparator outside core Patagonia",-35.9244,-61.1855,GRA,Grassland,Grassland,AmeriFlux,2018,2024,2018-2024,available,open,fluxnet-shuttle + AmeriFlux/FLUXNET product link,https://ftp.fluxdata.org/.ameriflux_downloads/FLUXNET/AMF_AR-CCg_FLUXNET_2018-2024_v1.3_r1.zip?=fluxnetshuttle,AMF_AR-CCg_FLUXNET_2018-2024_v1.3_r1.zip,10.17190/AMF/2469434,v1.3,"Gabriela Posse (2025), AmeriFlux FLUXNET-1F AR-CCg Carlos Casares grassland, Ver. v1.3_r1, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/2469434",2018,2024,7,2557,85.8,85.8,84.0,87.17,100.0,100.0,74.14,70.12,68.99,76.1,76.1,79.39,6,0.837,high,314,12,"NEE, GPP, LE, H, TA, SW_IN","CO2_F_MDS, CO2_F_MDS_QC, DAY_D, DAY_RANDUNC_N, EBC_CF_METHOD, EBC_CF_N, GPP_DT_CUT_05, GPP_DT_CUT_16, GPP_DT_CUT_25, GPP_DT_CUT_50, GPP_DT_CUT_75, GPP_DT_CUT_84, GPP_DT_CUT_95, GPP_DT_CUT_MEAN, GPP_DT_CUT_REF, GPP_DT_CUT_SE, GPP_DT_CUT_USTAR50, GPP_DT_VUT_05, GPP_DT_VUT_16, GPP_DT_VUT_25, GPP_DT_VUT_50, GPP_DT_VUT_75, GPP_DT_VUT_84, GPP_DT_VUT_95, GPP_DT_VUT_MEAN, GPP_DT_VUT_SE, GPP_DT_VUT_USTAR50, GPP_NT_CUT_05, GPP_NT_CUT_16, GPP_NT_CUT_25, GPP_NT_CUT_50, GPP_NT_CUT_75, GPP_NT_CUT_84, GPP_NT_CUT_95, GPP_NT_CUT_MEAN, GPP_NT_CUT_REF, GPP_NT_CUT_SE, GPP_NT_CUT_USTAR50, GPP_NT_VUT_05, GPP_NT_VUT_16, GPP_NT_VUT_25, GPP_NT_VUT_50, GPP_NT_VUT_75, GPP_NT_VUT_84, GPP_NT_VUT_95, GPP_NT_VUT_MEAN, GPP_NT_VUT_SE, GPP_NT_VUT_USTAR50, G_F_MDS, G_F_MDS_QC, H_CORR, H_CORR_25, H_CORR_75, H_CORR_JOINTUNC, H_RANDUNC, LE_CORR, LE_CORR_25, LE_CORR_75, LE_CORR_JOINTUNC, LE_RANDUNC, LW_IN_ERA, LW_IN_F, LW_IN_F_MDS, LW_IN_F_MDS_QC, LW_IN_F_QC, LW_IN_JSB, LW_IN_JSB_ERA, LW_IN_JSB_F, LW_IN_JSB_F_QC, LW_IN_JSB_QC, NEE_CUT_05, NEE_CUT_05_DAY, NEE_CUT_05_DAY_QC, NEE_CUT_05_NIGHT, NEE_CUT_05_NIGHT_QC, NEE_CUT_05_QC, NEE_CUT_16, NEE_CUT_16_DAY, NEE_CUT_16_DAY_QC, NEE_CUT_16_NIGHT, NEE_CUT_16_NIGHT_QC, NEE_CUT_16_QC, NEE_CUT_25, NEE_CUT_25_DAY, NEE_CUT_25_DAY_QC, NEE_CUT_25_NIGHT, NEE_CUT_25_NIGHT_QC, NEE_CUT_25_QC, NEE_CUT_50, NEE_CUT_50_DAY, NEE_CUT_50_DAY_QC, NEE_CUT_50_NIGHT, NEE_CUT_50_NIGHT_QC, NEE_CUT_50_QC, NEE_CUT_75, NEE_CUT_75_DAY, NEE_CUT_75_DAY_QC, NEE_CUT_75_NIGHT, NEE_CUT_75_NIGHT_QC, NEE_CUT_75_QC, NEE_CUT_84, NEE_CUT_84_DAY, NEE_CUT_84_DAY_QC, NEE_CUT_84_NIGHT, NEE_CUT_84_NIGHT_QC, NEE_CUT_84_QC, NEE_CUT_95, NEE_CUT_95_DAY, NEE_CUT_95_DAY_QC, NEE_CUT_95_NIGHT, NEE_CUT_95_NIGHT_QC, NEE_CUT_95_QC, NEE_CUT_MEAN, NEE_CUT_MEAN_QC, NEE_CUT_REF, NEE_CUT_REF_DAY, NEE_CUT_REF_DAY_JOINTUNC, NEE_CUT_REF_DAY_QC, NEE_CUT_REF_DAY_RANDUNC, NEE_CUT_REF_DAY_SD, NEE_CUT_REF_JOINTUNC, NEE_CUT_REF_NIGHT, NEE_CUT_REF_NIGHT_JOINTUNC, NEE_CUT_REF_NIGHT_QC, NEE_CUT_REF_NIGHT_RANDUNC, NEE_CUT_REF_NIGHT_SD, NEE_CUT_REF_QC, NEE_CUT_REF_RANDUNC, NEE_CUT_SE, NEE_CUT_USTAR50, NEE_CUT_USTAR50_DAY, NEE_CUT_USTAR50_DAY_JOINTUNC, NEE_CUT_USTAR50_DAY_QC, NEE_CUT_USTAR50_DAY_RANDUNC, NEE_CUT_USTAR50_DAY_SD, NEE_CUT_USTAR50_JOINTUNC, NEE_CUT_USTAR50_NIGHT, NEE_CUT_USTAR50_NIGHT_JOINTUNC, NEE_CUT_USTAR50_NIGHT_QC, NEE_CUT_USTAR50_NIGHT_RANDUNC, NEE_CUT_USTAR50_NIGHT_SD, NEE_CUT_USTAR50_QC, NEE_CUT_USTAR50_RANDUNC, NEE_VUT_05, NEE_VUT_05_DAY, NEE_VUT_05_DAY_QC, NEE_VUT_05_NIGHT, NEE_VUT_05_NIGHT_QC, NEE_VUT_05_QC, NEE_VUT_16, NEE_VUT_16_DAY, NEE_VUT_16_DAY_QC, NEE_VUT_16_NIGHT, NEE_VUT_16_NIGHT_QC, NEE_VUT_16_QC, NEE_VUT_25, NEE_VUT_25_DAY, NEE_VUT_25_DAY_QC, NEE_VUT_25_NIGHT, NEE_VUT_25_NIGHT_QC, NEE_VUT_25_QC, NEE_VUT_50, NEE_VUT_50_DAY, NEE_VUT_50_DAY_QC, NEE_VUT_50_NIGHT, NEE_VUT_50_NIGHT_QC, NEE_VUT_50_QC, NEE_VUT_75, NEE_VUT_75_DAY, NEE_VUT_75_DAY_QC, NEE_VUT_75_NIGHT, NEE_VUT_75_NIGHT_QC, NEE_VUT_75_QC, NEE_VUT_84, NEE_VUT_84_DAY, NEE_VUT_84_DAY_QC, NEE_VUT_84_NIGHT, NEE_VUT_84_NIGHT_QC, NEE_VUT_84_QC, NEE_VUT_95, NEE_VUT_95_DAY, NEE_VUT_95_DAY_QC, NEE_VUT_95_NIGHT, NEE_VUT_95_NIGHT_QC, NEE_VUT_95_QC, NEE_VUT_MEAN, NEE_VUT_MEAN_QC, NEE_VUT_REF_DAY, NEE_VUT_REF_DAY_JOINTUNC, NEE_VUT_REF_DAY_QC, NEE_VUT_REF_DAY_RANDUNC, NEE_VUT_REF_DAY_SD, NEE_VUT_REF_JOINTUNC, NEE_VUT_REF_NIGHT, NEE_VUT_REF_NIGHT_JOINTUNC, NEE_VUT_REF_NIGHT_QC, NEE_VUT_REF_NIGHT_RANDUNC, NEE_VUT_REF_NIGHT_SD, NEE_VUT_REF_RANDUNC, NEE_VUT_SE, NEE_VUT_USTAR50, NEE_VUT_USTAR50_DAY, NEE_VUT_USTAR50_DAY_JOINTUNC, NEE_VUT_USTAR50_DAY_QC, NEE_VUT_USTAR50_DAY_RANDUNC, NEE_VUT_USTAR50_DAY_SD, NEE_VUT_USTAR50_JOINTUNC, NEE_VUT_USTAR50_NIGHT, NEE_VUT_USTAR50_NIGHT_JOINTUNC, NEE_VUT_USTAR50_NIGHT_QC, NEE_VUT_USTAR50_NIGHT_RANDUNC, NEE_VUT_USTAR50_NIGHT_SD, NEE_VUT_USTAR50_QC, NEE_VUT_USTAR50_RANDUNC, NIGHT_D, NIGHT_RANDUNC_N, PA_ERA, PA_F, PA_F_QC, PPFD_IN, PPFD_IN_QC, P_ERA, P_F, P_F_QC, RECO_DT_CUT_05, RECO_DT_CUT_16, RECO_DT_CUT_25, RECO_DT_CUT_50, RECO_DT_CUT_75, RECO_DT_CUT_84, RECO_DT_CUT_95, RECO_DT_CUT_MEAN, RECO_DT_CUT_REF, RECO_DT_CUT_SE, RECO_DT_CUT_USTAR50, RECO_DT_VUT_05, RECO_DT_VUT_16, RECO_DT_VUT_25, RECO_DT_VUT_50, RECO_DT_VUT_75, RECO_DT_VUT_84, RECO_DT_VUT_95, RECO_DT_VUT_MEAN, RECO_DT_VUT_REF, RECO_DT_VUT_SE, RECO_DT_VUT_USTAR50, RECO_NT_CUT_05, RECO_NT_CUT_16, RECO_NT_CUT_25, RECO_NT_CUT_50, RECO_NT_CUT_75, RECO_NT_CUT_84, RECO_NT_CUT_95, RECO_NT_CUT_MEAN, RECO_NT_CUT_REF, RECO_NT_CUT_SE, RECO_NT_CUT_USTAR50, RECO_NT_VUT_05, RECO_NT_VUT_16, RECO_NT_VUT_25, RECO_NT_VUT_50, RECO_NT_VUT_75, RECO_NT_VUT_84, RECO_NT_VUT_95, RECO_NT_VUT_MEAN, RECO_NT_VUT_REF, RECO_NT_VUT_SE, RECO_NT_VUT_USTAR50, SW_IN_ERA, SW_IN_F, SW_IN_F_QC, SW_IN_POT, TA_ERA, TA_ERA_DAY, TA_ERA_DAY_SD, TA_ERA_NIGHT, TA_ERA_NIGHT_SD, TA_F, TA_F_DAY, TA_F_DAY_QC, TA_F_DAY_SD, TA_F_MDS_DAY, TA_F_MDS_DAY_QC, TA_F_MDS_DAY_SD, TA_F_MDS_NIGHT, TA_F_MDS_NIGHT_QC, TA_F_MDS_NIGHT_SD, TA_F_NIGHT, TA_F_NIGHT_QC, TA_F_NIGHT_SD, TA_F_QC, USTAR, USTAR_QC, VPD_ERA, VPD_F, VPD_F_MDS, VPD_F_MDS_QC, VPD_F_QC, WS_ERA, WS_F, WS_F_QC","{""VAR_INFO_UNIT"": [""deg C"", ""adimensional"", ""W m-2"", ""hPa"", ""kPa"", ""mm d-1"", ""m s-1"", ""µmolPhoton m-2 s-1"", ""µmolCO2 mol-1"", ""gC m-2 d-1"", ""µmolCO2 m-2 s-1""]}",Daily FLUXMET standardized from FLUXNET product. Missing sentinels converted to NaN. QC acceptable threshold set to >= 0.5 for available QC variables.,#2F6B3B,14.0
AR-TF1,Rio Moat bog,Argentina,Tierra del Fuego / Southern Patagonia,-54.9733,-66.7335,WET,Wetland,Bog / wetland,AmeriFlux,2016,2018,2016-2018,available,open,fluxnet-shuttle + AmeriFlux/FLUXNET product link,https://ftp.fluxdata.org/.ameriflux_downloads/FLUXNET/AMF_AR-TF1_FLUXNET_2016-2018_v1.3_r1.zip?=fluxnetshuttle,AMF_AR-TF1_FLUXNET_2016-2018_v1.3_r1.zip,10.17190/AMF/1818370,v1.3,"Lars Kutzbach (2025), AmeriFlux FLUXNET-1F AR-TF1 Rio Moat bog, Ver. v1.3_r1, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1818370",2016,2018,3,1096,79.29,79.29,79.29,79.29,79.01,79.11,75.84,75.46,75.64,75.64,76.19,76.28,6,0.713,medium,314,12,"NEE, GPP, LE, H, TA, SW_IN","CO2_F_MDS, CO2_F_MDS_QC, DAY_D, DAY_RANDUNC_N, EBC_CF_METHOD, EBC_CF_N, GPP_DT_CUT_05, GPP_DT_CUT_16, GPP_DT_CUT_25, GPP_DT_CUT_50, GPP_DT_CUT_75, GPP_DT_CUT_84, GPP_DT_CUT_95, GPP_DT_CUT_MEAN, GPP_DT_CUT_REF, GPP_DT_CUT_SE, GPP_DT_CUT_USTAR50, GPP_DT_VUT_05, GPP_DT_VUT_16, GPP_DT_VUT_25, GPP_DT_VUT_50, GPP_DT_VUT_75, GPP_DT_VUT_84, GPP_DT_VUT_95, GPP_DT_VUT_MEAN, GPP_DT_VUT_SE, GPP_DT_VUT_USTAR50, GPP_NT_CUT_05, GPP_NT_CUT_16, GPP_NT_CUT_25, GPP_NT_CUT_50, GPP_NT_CUT_75, GPP_NT_CUT_84, GPP_NT_CUT_95, GPP_NT_CUT_MEAN, GPP_NT_CUT_REF, GPP_NT_CUT_SE, GPP_NT_CUT_USTAR50, GPP_NT_VUT_05, GPP_NT_VUT_16, GPP_NT_VUT_25, GPP_NT_VUT_50, GPP_NT_VUT_75, GPP_NT_VUT_84, GPP_NT_VUT_95, GPP_NT_VUT_MEAN, GPP_NT_VUT_SE, GPP_NT_VUT_USTAR50, G_F_MDS, G_F_MDS_QC, H_CORR, H_CORR_25, H_CORR_75, H_CORR_JOINTUNC, H_RANDUNC, LE_CORR, LE_CORR_25, LE_CORR_75, LE_CORR_JOINTUNC, LE_RANDUNC, LW_IN_ERA, LW_IN_F, LW_IN_F_MDS, LW_IN_F_MDS_QC, LW_IN_F_QC, LW_IN_JSB, LW_IN_JSB_ERA, LW_IN_JSB_F, LW_IN_JSB_F_QC, LW_IN_JSB_QC, NEE_CUT_05, NEE_CUT_05_DAY, NEE_CUT_05_DAY_QC, NEE_CUT_05_NIGHT, NEE_CUT_05_NIGHT_QC, NEE_CUT_05_QC, NEE_CUT_16, NEE_CUT_16_DAY, NEE_CUT_16_DAY_QC, NEE_CUT_16_NIGHT, NEE_CUT_16_NIGHT_QC, NEE_CUT_16_QC, NEE_CUT_25, NEE_CUT_25_DAY, NEE_CUT_25_DAY_QC, NEE_CUT_25_NIGHT, NEE_CUT_25_NIGHT_QC, NEE_CUT_25_QC, NEE_CUT_50, NEE_CUT_50_DAY, NEE_CUT_50_DAY_QC, NEE_CUT_50_NIGHT, NEE_CUT_50_NIGHT_QC, NEE_CUT_50_QC, NEE_CUT_75, NEE_CUT_75_DAY, NEE_CUT_75_DAY_QC, NEE_CUT_75_NIGHT, NEE_CUT_75_NIGHT_QC, NEE_CUT_75_QC, NEE_CUT_84, NEE_CUT_84_DAY, NEE_CUT_84_DAY_QC, NEE_CUT_84_NIGHT, NEE_CUT_84_NIGHT_QC, NEE_CUT_84_QC, NEE_CUT_95, NEE_CUT_95_DAY, NEE_CUT_95_DAY_QC, NEE_CUT_95_NIGHT, NEE_CUT_95_NIGHT_QC, NEE_CUT_95_QC, NEE_CUT_MEAN, NEE_CUT_MEAN_QC, NEE_CUT_REF, NEE_CUT_REF_DAY, NEE_CUT_REF_DAY_JOINTUNC, NEE_CUT_REF_DAY_QC, NEE_CUT_REF_DAY_RANDUNC, NEE_CUT_REF_DAY_SD, NEE_CUT_REF_JOINTUNC, NEE_CUT_REF_NIGHT, NEE_CUT_REF_NIGHT_JOINTUNC, NEE_CUT_REF_NIGHT_QC, NEE_CUT_REF_NIGHT_RANDUNC, NEE_CUT_REF_NIGHT_SD, NEE_CUT_REF_QC, NEE_CUT_REF_RANDUNC, NEE_CUT_SE, NEE_CUT_USTAR50, NEE_CUT_USTAR50_DAY, NEE_CUT_USTAR50_DAY_JOINTUNC, NEE_CUT_USTAR50_DAY_QC, NEE_CUT_USTAR50_DAY_RANDUNC, NEE_CUT_USTAR50_DAY_SD, NEE_CUT_USTAR50_JOINTUNC, NEE_CUT_USTAR50_NIGHT, NEE_CUT_USTAR50_NIGHT_JOINTUNC, NEE_CUT_USTAR50_NIGHT_QC, NEE_CUT_USTAR50_NIGHT_RANDUNC, NEE_CUT_USTAR50_NIGHT_SD, NEE_CUT_USTAR50_QC, NEE_CUT_USTAR50_RANDUNC, NEE_VUT_05, NEE_VUT_05_DAY, NEE_VUT_05_DAY_QC, NEE_VUT_05_NIGHT, NEE_VUT_05_NIGHT_QC, NEE_VUT_05_QC, NEE_VUT_16, NEE_VUT_16_DAY, NEE_VUT_16_DAY_QC, NEE_VUT_16_NIGHT, NEE_VUT_16_NIGHT_QC, NEE_VUT_16_QC, NEE_VUT_25, NEE_VUT_25_DAY, NEE_VUT_25_DAY_QC, NEE_VUT_25_NIGHT, NEE_VUT_25_NIGHT_QC, NEE_VUT_25_QC, NEE_VUT_50, NEE_VUT_50_DAY, NEE_VUT_50_DAY_QC, NEE_VUT_50_NIGHT, NEE_VUT_50_NIGHT_QC, NEE_VUT_50_QC, NEE_VUT_75, NEE_VUT_75_DAY, NEE_VUT_75_DAY_QC, NEE_VUT_75_NIGHT, NEE_VUT_75_NIGHT_QC, NEE_VUT_75_QC, NEE_VUT_84, NEE_VUT_84_DAY, NEE_VUT_84_DAY_QC, NEE_VUT_84_NIGHT, NEE_VUT_84_NIGHT_QC, NEE_VUT_84_QC, NEE_VUT_95, NEE_VUT_95_DAY, NEE_VUT_95_DAY_QC, NEE_VUT_95_NIGHT, NEE_VUT_95_NIGHT_QC, NEE_VUT_95_QC, NEE_VUT_MEAN, NEE_VUT_MEAN_QC, NEE_VUT_REF_DAY, NEE_VUT_REF_DAY_JOINTUNC, NEE_VUT_REF_DAY_QC, NEE_VUT_REF_DAY_RANDUNC, NEE_VUT_REF_DAY_SD, NEE_VUT_REF_JOINTUNC, NEE_VUT_REF_NIGHT, NEE_VUT_REF_NIGHT_JOINTUNC, NEE_VUT_REF_NIGHT_QC, NEE_VUT_REF_NIGHT_RANDUNC, NEE_VUT_REF_NIGHT_SD, NEE_VUT_REF_RANDUNC, NEE_VUT_SE, NEE_VUT_USTAR50, NEE_VUT_USTAR50_DAY, NEE_VUT_USTAR50_DAY_JOINTUNC, NEE_VUT_USTAR50_DAY_QC, NEE_VUT_USTAR50_DAY_RANDUNC, NEE_VUT_USTAR50_DAY_SD, NEE_VUT_USTAR50_JOINTUNC, NEE_VUT_USTAR50_NIGHT, NEE_VUT_USTAR50_NIGHT_JOINTUNC, NEE_VUT_USTAR50_NIGHT_QC, NEE_VUT_USTAR50_NIGHT_RANDUNC, NEE_VUT_USTAR50_NIGHT_SD, NEE_VUT_USTAR50_QC, NEE_VUT_USTAR50_RANDUNC, NIGHT_D, NIGHT_RANDUNC_N, PA_ERA, PA_F, PA_F_QC, PPFD_IN, PPFD_IN_QC, P_ERA, P_F, P_F_QC, RECO_DT_CUT_05, RECO_DT_CUT_16, RECO_DT_CUT_25, RECO_DT_CUT_50, RECO_DT_CUT_75, RECO_DT_CUT_84, RECO_DT_CUT_95, RECO_DT_CUT_MEAN, RECO_DT_CUT_REF, RECO_DT_CUT_SE, RECO_DT_CUT_USTAR50, RECO_DT_VUT_05, RECO_DT_VUT_16, RECO_DT_VUT_25, RECO_DT_VUT_50, RECO_DT_VUT_75, RECO_DT_VUT_84, RECO_DT_VUT_95, RECO_DT_VUT_MEAN, RECO_DT_VUT_REF, RECO_DT_VUT_SE, RECO_DT_VUT_USTAR50, RECO_NT_CUT_05, RECO_NT_CUT_16, RECO_NT_CUT_25, RECO_NT_CUT_50, RECO_NT_CUT_75, RECO_NT_CUT_84, RECO_NT_CUT_95, RECO_NT_CUT_MEAN, RECO_NT_CUT_REF, RECO_NT_CUT_SE, RECO_NT_CUT_USTAR50, RECO_NT_VUT_05, RECO_NT_VUT_16, RECO_NT_VUT_25, RECO_NT_VUT_50, RECO_NT_VUT_75, RECO_NT_VUT_84, RECO_NT_VUT_95, RECO_NT_VUT_MEAN, RECO_NT_VUT_REF, RECO_NT_VUT_SE, RECO_NT_VUT_USTAR50, SW_IN_ERA, SW_IN_F, SW_IN_F_QC, SW_IN_POT, TA_ERA, TA_ERA_DAY, TA_ERA_DAY_SD, TA_ERA_NIGHT, TA_ERA_NIGHT_SD, TA_F, TA_F_DAY, TA_F_DAY_QC, TA_F_DAY_SD, TA_F_MDS_DAY, TA_F_MDS_DAY_QC, TA_F_MDS_DAY_SD, TA_F_MDS_NIGHT, TA_F_MDS_NIGHT_QC, TA_F_MDS_NIGHT_SD, TA_F_NIGHT, TA_F_NIGHT_QC, TA_F_NIGHT_SD, TA_F_QC, USTAR, USTAR_QC, VPD_ERA, VPD_F, VPD_F_MDS, VPD_F_MDS_QC, VPD_F_QC, WS_ERA, WS_F, WS_F_QC","{""VAR_INFO_UNIT"": [""deg C"", ""adimensional"", ""W m-2"", ""hPa"", ""kPa"", ""mm d-1"", ""m s-1"", ""µmolPhoton m-2 s-1"", ""µmolCO2 mol-1"", ""gC m-2 d-1"", ""µmolCO2 m-2 s-1""]}",Daily FLUXMET standardized from FLUXNET product. Missing sentinels converted to NaN. QC acceptable threshold set to >= 0.5 for available QC variables.,#C78C1B,6.0
